Pokémon,Dex,Icons,Shiny,Male,Female,Type 1,Type 2,Hatch Steps,Egg Group 1,Egg Group 2,Ability 1,Ability 2,Hidden Ability,Special Ability,Egg Moves,,,,,,,,,,,,,,,,Abilities,Nature,Stat Up,Stat Down,Types,Sprite,Moves,Type,Ball,Big,Sprite,Item,Sprite,Shiny,Gender,Stat,31,<31,Event Name,Event Link
Oricorio-Pa’u,741,,,♂ 25%,♀ 75%,Psychic,Flying,"5,120",Flying,----,Dancer,----,----,----,Pluck,Tailwind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oricorio-Sensu,741,,,♂ 25%,♀ 75%,Ghost,Flying,"5,120",Flying,----,Dancer,----,----,----,Pluck,Tailwind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cutiefly,742,,,♂ 50%,♀ 50%,Bug,Fairy,"5,120",Bug,Fairy,Honey Gather,Shield Dust,Sweet Veil,----,Baton Pass,Bestow,Moonblast,Skill Swap,Speed Swap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ribombee,743,,,♂ 50%,♀ 50%,Bug,Fairy,"5,120",Bug,Fairy,Honey Gather,Shield Dust,Sweet Veil,----,Baton Pass,Bestow,Moonblast,Skill Swap,Speed Swap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockruff,744,,,♂ 50%,♀ 50%,Rock,----,"3,840",Field,----,Keen Eye,Vital Spirit,Steadfast,Own Tempo,Crush Claw,Fire Fang,Sucker Punch,Thrash,Thunder Fang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycanroc-Midday,745,,,♂ 50%,♀ 50%,Rock,----,"3,840",Field,----,Keen Eye,Sand Rush,Steadfast,----,Crush Claw,Fire Fang,Sucker Punch,Thrash,Thunder Fang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycanroc-Midnight,745,,,♂ 50%,♀ 50%,Rock,----,"3,840",Field,----,Keen Eye,Vital Spirit,No Guard,----,Crush Claw,Fire Fang,Sucker Punch,Thrash,Thunder Fang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wishiwashi,746,,,♂ 50%,♀ 50%,Water,----,"3,840",Water 2,----,Schooling,----,----,----,Mist,Muddy Water,Water Pulse,Water Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wishiwashi-School,746,,,♂ 50%,♀ 50%,Water,----,"3,840",Water 2,----,Schooling,----,----,----,Mist,Muddy Water,Water Pulse,Water Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mareanie,747,,,♂ 50%,♀ 50%,Poison,Water,"5,120",Water 1,----,Merciless,Limber,Regenerator,----,Haze,Spit Up,Stockpile,Swallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxapex,748,,,♂ 50%,♀ 50%,Poison,Water,"5,120",Water 1,----,Merciless,Limber,Regenerator,----,Haze,Spit Up,Stockpile,Swallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mudbray,749,,,♂ 50%,♀ 50%,Ground,----,"5,120",Field,----,Own Tempo,Stamina,Inner Focus,----,Body Slam,Close Combat,Double-Edge,Magnitude,Mud Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mudsdale,750,,,♂ 50%,♀ 50%,Ground,----,"5,120",Field,----,Own Tempo,Stamina,Inner Focus,----,Body Slam,Close Combat,Double-Edge,Magnitude,Mud Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dewpider,751,,,♂ 50%,♀ 50%,Water,Bug,"3,840",Water 1,Bug,Water Bubble,----,Water Absorb,----,Aurora Beam,Power Split,Spit Up,Stockpile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Araquanid,752,,,♂ 50%,♀ 50%,Water,Bug,"3,840",Water 1,Bug,Water Bubble,----,Water Absorb,----,Aurora Beam,Power Split,Spit Up,Stockpile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fomantis,753,,,♂ 50%,♀ 50%,Grass,----,"5,120",Grass,----,Leaf Guard,----,Contrary,----,Aromatherapy,Defog,Giga Drain,Leaf Storm,Weather Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lurantis,754,,,♂ 50%,♀ 50%,Grass,----,"5,120",Grass,----,Leaf Guard,----,Contrary,----,Aromatherapy,Defog,Giga Drain,Leaf Storm,Weather Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morelull,755,,,♂ 50%,♀ 50%,Grass,Fairy,"5,120",Grass,----,Illuminate,Effect Spore,Rain Dish,----,Amnesia,Growth,Leech Seed,Poison Powder,Stun Spore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiinotic,756,,,♂ 50%,♀ 50%,Grass,Fairy,"5,120",Grass,----,Illuminate,Effect Spore,Rain Dish,----,Amnesia,Growth,Leech Seed,Poison Powder,Stun Spore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salandit,757,,,♂ 88.1%,♀ 11.9%,Poison,Fire,"5,120",Monster,Dragon,Corrosion,----,Oblivious,----,Belch,Fake Out,Knock Off,Sand Attack,Snatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salazzle,758,,,♂ 0%,♀ 100%,Poison,Fire,"5,120",Monster,Dragon,Corrosion,----,Oblivious,----,Belch,Fake Out,Knock Off,Sand Attack,Snatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stufful,759,,,♂ 50%,♀ 50%,Normal,Fighting,"3,840",Field,----,Fluffy,Klutz,Cute Charm,----,Endure,Force Palm,Ice Punch,Mega Kick,Stomping Tantrum,Thunder Punch,Wide Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bewear,760,,,♂ 50%,♀ 50%,Normal,Fighting,"3,840",Field,----,Fluffy,Klutz,Unnerve,----,Endure,Force Palm,Ice Punch,Mega Kick,Stomping Tantrum,Thunder Punch,Wide Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bounsweet,761,,,♂ 0%,♀ 100%,Grass,----,"5,120",Grass,----,Leaf Guard,Oblivious,Sweet Veil,----,Acupressure,Charm,Feint,Grass Whistle,Play Rough,Synthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steenee,762,,,♂ 0%,♀ 100%,Grass,----,"5,120",Grass,----,Leaf Guard,Oblivious,Sweet Veil,----,Acupressure,Charm,Feint,Grass Whistle,Play Rough,Synthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsareena,763,,,♂ 0%,♀ 100%,Grass,----,"5,120",Grass,----,Leaf Guard,Queenly Majesty,Sweet Veil,----,Acupressure,Charm,Feint,Grass Whistle,Play Rough,Synthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfey,764,,,♂ 25%,♀ 75%,Fairy,----,"5,120",Grass,----,Flower Veil,Triage,Natural Cure,----,After You,Amnesia,Endure,Lucky Chant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oranguru,765,,,♂ 50%,♀ 50%,Normal,Psychic,"5,120",Field,----,Inner Focus,Telepahty,Symbiosis,----,Extrasensory,Psychic Terrain,Wonder Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passimian,766,,,♂ 50%,♀ 50%,Fighting,----,"5,120",Field,----,Receiver,----,Defiant,----,Feint,Iron Head,Quick Attack,Quick Guard,Seismic Toss,Vital Throw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wimpod,767,,,♂ 50%,♀ 50%,Bug,Water,"5,120",Bug,Water 3,Wimp Out,----,----,----,Aqua Jet,Harden,Metal Claw,Spikes,Wide Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golisopod,768,,,♂ 50%,♀ 50%,Bug,Water,"5,120",Bug,Water 3,Emergency Exit,----,----,----,Aqua Jet,Harden,Metal Claw,Spikes,Wide Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandygast,769,,,♂ 50%,♀ 50%,Ghost,Ground,"3,840",Amorphous,----,Water Compaction,----,Sand Veil,----,Amnesia,Ancient Power,Destiny Bond,Spit Up,Stockpile,Swallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palossand,770,,,♂ 50%,♀ 50%,Ghost,Ground,"3,840",Amorphous,----,Water Compaction,----,Sand Veil,----,Amnesia,Ancient Power,Destiny Bond,Spit Up,Stockpile,Swallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyukumuku,771,,,♂ 50%,♀ 50%,Water,----,"3,840",Water 1,----,Innards Out,----,Unaware,----,Bestow,Endure,Tickle,Venom Drench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type: Null,772,,,○,○,Normal,----,"30,720",Undiscovered,----,Battle Armor,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally,773,,,○,○,Normal,----,"30,720",Undiscovered,----,RKS System,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Bug,773,,,○,○,Bug,----,"30,720",Undiscovered,----,RKS System,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Dark,773,,,○,○,Dark,----,"30,720",Undiscovered,----,RKS System,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Dragon,773,,,○,○,Dragon,----,"30,720",Undiscovered,----,RKS System,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Electric,773,,,○,○,Electric,----,"30,720",Undiscovered,----,RKS System,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Fairy,773,,,○,○,Fairy,----,"30,720",Undiscovered,----,RKS System,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Fighting,773,,,○,○,Fighting,----,"30,720",Undiscovered,----,RKS System,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Fire,773,,,○,○,Fire,----,"30,720",Undiscovered,----,RKS System,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Flying,773,,,○,○,Flying,----,"30,720",Undiscovered,----,RKS System,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Ghost,773,,,○,○,Ghost,----,"30,720",Undiscovered,----,RKS System,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Grass,773,,,○,○,Grass,----,"30,720",Undiscovered,----,RKS System,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Ground,773,,,○,○,Ground,----,"30,720",Undiscovered,----,RKS System,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Ice,773,,,○,○,Ice,----,"30,720",Undiscovered,----,RKS System,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Poison,773,,,○,○,Poison,----,"30,720",Undiscovered,----,RKS System,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Psychic,773,,,○,○,Psychic,----,"30,720",Undiscovered,----,RKS System,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Rock,773,,,○,○,Rock,----,"30,720",Undiscovered,----,RKS System,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Steel,773,,,○,○,Steel,----,"30,720",Undiscovered,----,RKS System,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvally-Water,773,,,○,○,Water,----,"30,720",Undiscovered,----,RKS System,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minior-Meteor,774,,,○,○,Rock,Flying,"6,400",Mineral,----,Shields Down,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minior-Green,774,,,○,○,Rock,Flying,"6,400",Mineral,----,Shields Down,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minior-Blue,774,,,○,○,Rock,Flying,"6,400",Mineral,----,Shields Down,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minior-Indigo,774,,,○,○,Rock,Flying,"6,400",Mineral,----,Shields Down,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minior-Purple,774,,,○,○,Rock,Flying,"6,400",Mineral,----,Shields Down,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minior-Red,774,,,○,○,Rock,Flying,"6,400",Mineral,----,Shields Down,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minior-Orange,774,,,○,○,Rock,Flying,"6,400",Mineral,----,Shields Down,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minior-Yellow,774,,,○,○,Rock,Flying,"6,400",Mineral,----,Shields Down,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Komala,775,,,♂ 50%,♀ 50%,Normal,----,"5,120",Field,----,Comatose,----,----,----,Charm,Play Rough,Sing,Wish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtonator,776,,,♂ 50%,♀ 50%,Fire,Dragon,"5,120",Monster,Dragon,Shell Armor,----,----,----,Fire Spin,Head Smash,Revenge,Wide Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togedemaru,777,,,♂ 50%,♀ 50%,Electric,Steel,"2,560",Field,Fairy,Iron Barbs,Lightning Rod,Sturdy,----,Disarming Voice,Encore,Fake Out,Flail,Present,Reversal,Tickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimikyu,778,,,♂ 50%,♀ 50%,Ghost,Fairy,"5,120",Amorphous,----,Disguise,----,----,----,Curse,Destiny Bond,Grudge,Nightmare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruxish,779,,,♂ 50%,♀ 50%,Water,Psychic,"3,840",Water 2,----,Dazzling,Strong Jaw,Wonder Skin,----,Ice Fang,Poison Fang,Rage,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drampa,780,,,♂ 50%,♀ 50%,Normal,Dragon,"5,120",Monster,Dragon,Berserk,Sap Sipper,Cloud Nine,----,Dragon Rush,Hurricane,Mist,Play Rough,Razor Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhelmise,781,,,○,○,Ghost,Grass,"6,400",Mineral,----,Steelworker,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jangmo-o,782,,,♂ 50%,♀ 50%,Dragon,----,"10,240",Dragon,----,Bulletproof,Soundproof,Overcoat,----,Counter,Dragon Breath,Reversal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakamo-o,783,,,♂ 50%,♀ 50%,Dragon,Fighting,"10,240",Dragon,----,Bulletproof,Soundproof,Overcoat,----,Counter,Dragon Breath,Reversal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kommo-o,784,,,♂ 50%,♀ 50%,Dragon,Fighting,"10,240",Dragon,----,Bulletproof,Soundproof,Overcoat,----,Counter,Dragon Breath,Reversal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapu Koko,785,tapukoko,,○,○,Electric,Fairy,"3,840",Undiscovered,----,Electric Surge,----,Telepathy,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapu Lele,786,tapulele,,○,○,Psychic,Fairy,"3,840",Undiscovered,----,Psychic Surge,----,Telepathy,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapu Bulu,787,tapubulu,,○,○,Grass,Fairy,"3,840",Undiscovered,----,Grassy Surge,----,Telepathy,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapu Fini,788,tapufini,,○,○,Water,Fairy,"3,840",Undiscovered,----,Misty Surge,----,Telepathy,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmog,789,,,○,○,Psychic,----,"30,720",Undiscovered,----,Unaware,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmoem,790,,,○,○,Psychic,----,"30,720",Undiscovered,----,Sturdy,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solgaleo,791,,,○,○,Psychic,Steel,"30,720",Undiscovered,----,Full Metal Body,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lunala,792,,,○,○,Psychic,Ghost,"30,720",Undiscovered,----,Shadow Shield,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nihilego,793,,,○,○,Rock,Poison,"30,720",Undiscovered,----,Beast Boost,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buzzwole,794,,,○,○,Bug,Fighting,"30,720",Undiscovered,----,Beast Boost,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pheromosa,795,,,○,○,Bug,Fighting,"30,720",Undiscovered,----,Beast Boost,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xurkitree,796,,,○,○,Electric,----,"30,720",Undiscovered,----,Beast Boost,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celesteela,797,,,○,○,Steel,Flying,"30,720",Undiscovered,----,Beast Boost,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Made by: LadyLucario,,,,,,,,,,,,,
Kartana,798,,,○,○,Grass,Steel,"30,720",Undiscovered,----,Beast Boost,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Edited by: AgentKazy,,,,,,,,,,,,,
Guzzlord,799,,,○,○,Dark,Dragon,"30,720",Undiscovered,----,Beast Boost,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Necrozma,800,,,○,○,Psychic,----,"30,720",Undiscovered,----,Prism Armor,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Aurora Beam,,,,,,,,,,,,,
Magearna,801,,,○,○,Steel,Fairy,"30,720",Undiscovered,----,Soul-Heart,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Aurora Beam,,,,,,,,,,,,,
Magearna-Pokéball,801,magearna-pokeball,,○,○,Steel,Fairy,"30,720",Undiscovered,----,Soul-Heart,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Aurora Beam,,,,,,,,,,,,,
Marshadow,802,,,○,○,Fighting,Ghost,"30,720",Undiscovered,----,Technician,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Aurora Beam,,,,,,,,,,,,,
Kanto Cap Pikachu,25,pikachu-kantocap,,♂ 50%,♀ 50%,Electric,----,"2,560",Field,Fairy,Static,----,Lightning Rod,----,,,,,,,,,,,,,,,,,,,,,,,Aurora Beam,,,,,,,,,,,,,
Hoenn Cap Pikachu,25,pikachu-hoenncap,,♂ 50%,♀ 50%,Electric,----,"2,560",Field,Fairy,Static,----,Lightning Rod,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinnoh Cap Pikachu,25,pikachu-sinnohcap,,♂ 50%,♀ 50%,Electric,----,"2,560",Field,Fairy,Static,----,Lightning Rod,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unova Cap Pikachu,25,pikachu-unovacap,,♂ 50%,♀ 50%,Electric,----,"2,560",Field,Fairy,Static,----,Lightning Rod,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalos Cap Pikachu,25,pikachu-kaloscap,,♂ 50%,♀ 50%,Electric,----,"2,560",Field,Fairy,Static,----,Lightning Rod,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alola Cap Pikachu,25,pikachu-alolacap,,♂ 50%,♀ 50%,Electric,----,"2,560",Field,Fairy,Static,----,Lightning Rod,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partner Cap Pikachu,25,pikachu-partnercap,,♂ 50%,♀ 50%,Electric,----,"2,560",Field,Fairy,Static,----,Lightning Rod,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lycanroc-Dusk,745,,,♂ 50%,♀ 50%,Rock,----,"3,840",Field,----,Tough Claws,----,----,----,Crush Claw,Fire Fang,Sucker Punch,Thrash,Thunder Fang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Necrozma Dusk Mane,800,,,○,○,Psychic,Steel,"30,720",Undiscovered,----,Prism Armor,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Necrozma Dawn Wings,800,,,○,○,Psychic,Ghost,"30,720",Undiscovered,----,Prism Armor,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Necrozma Ultra,800,,,○,○,Psychic,Dragon,"30,720",Undiscovered,----,Neuroforce,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poipole,803,,,○,○,Poison,----,"30,720",Undiscovered,----,Beast Boost,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naganadel,804,,,○,○,Poison,Dragon,"30,720",Undiscovered,----,Beast Boost,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stakataka,805,,,○,○,Rock,Steel,"30,720",Undiscovered,----,Beast Boost,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blacephalon,806,,,○,○,Fire,Ghost,"30,720",Undiscovered,----,Beast Boost,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeraora,807,,,○,○,Electric,----,"30,720",Undiscovered,----,Volt Absorb,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meltan,808,,,○,○,Steel,----,,Undiscovered,----,Magnet Pull,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melmetal,809,,,○,○,Steel,----,,Undiscovered,----,Iron Fist,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melmetal-Gigantamax,809,,,○,○,Steel,----,,Undiscovered,----,Iron Fist,----,----,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grookey,810,,,88.15,11.85,Grass,----,,Field,Grass,Overgrow,----,Grassy Surge,----,Growth,Hammer Arm,Fake Out,Strength,Nature Power,Worry Seed,Leech Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thwackey,811,,,88.15,11.85,Grass,----,,Field,Grass,Overgrow,----,Grassy Surge,----,Growth,Hammer Arm,Fake Out,Strength,Nature Power,Worry Seed,Leech Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rillaboom,812,,,88.15,11.85,Grass,----,,Field,Grass,Overgrow,----,Grassy Surge,----,Growth,Hammer Arm,Fake Out,Strength,Nature Power,Worry Seed,Leech Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rillaboom-Gigantamax,812,,,88.15,11.85,Grass,----,,Field,Grass,Overgrow,----,Grassy Surge,----,Growth,Hammer Arm,Fake Out,Strength,Nature Power,Worry Seed,Leech Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorbunny,813,,,88.15,11.85,Fire,----,,Field,HumanLike,Blaze,----,Libero,----,High Jump Kick,Sand Attack,Sucker Punch,Super Fang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raboot,814,,,88.15,11.85,Fire,----,,Field,HumanLike,Blaze,----,Libero,----,High Jump Kick,Sand Attack,Sucker Punch,Super Fang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinderace,815,,,88.15,11.85,Fire,----,,Field,HumanLike,Blaze,----,Libero,----,High Jump Kick,Sand Attack,Sucker Punch,Super Fang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinderace-Gigantamax,815,,,88.15,11.85,Fire,----,,Field,HumanLike,Blaze,----,Libero,----,High Jump Kick,Sand Attack,Sucker Punch,Super Fang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sobble,816,,,88.15,11.85,Water,----,,Water1,Field,Torrent,----,Sniper,----,Aqua Jet,Double Team,Aqua Ring,Mist,Haze,Ice Shard,Fell Stinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drizzile,817,,,88.15,11.85,Water,----,,Water1,Field,Torrent,----,Sniper,----,Aqua Jet,Double Team,Aqua Ring,Mist,Haze,Ice Shard,Fell Stinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inteleon,818,,,88.15,11.85,Water,----,,Water1,Field,Torrent,----,Sniper,----,Aqua Jet,Double Team,Aqua Ring,Mist,Haze,Ice Shard,Fell Stinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inteleon-Gigantamax,818,,,88.15,11.85,Water,----,,Water1,Field,Torrent,----,Sniper,----,Aqua Jet,Double Team,Aqua Ring,Mist,Haze,Ice Shard,Fell Stinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skwovet,819,,,50.2,49.8,Normal,----,,Field,----,Cheek Pouch,----,Gluttony,----,Rollout,Defense Curl,Last Resort,Belly Drum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greedent,820,,,50.2,49.8,Normal,----,,Field,----,Cheek Pouch,----,Gluttony,----,Rollout,Defense Curl,Last Resort,Belly Drum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rookidee,821,,,50.2,49.8,Flying,----,,Flying,----,Keen Eye,Unnerve,Big Pecks,----,Sky Attack,Sand Attack,Tailwind,Defog,Rock Smash,Spite,Roost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corvisquire,822,,,50.2,49.8,Flying,----,,Flying,----,Keen Eye,Unnerve,Big Pecks,----,Sky Attack,Sand Attack,Tailwind,Defog,Rock Smash,Spite,Roost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corviknight,823,,,50.2,49.8,Flying,Steel,,Flying,----,Pressure,Unnerve,Mirror Armor,----,Sky Attack,Sand Attack,Tailwind,Defog,Rock Smash,Spite,Roost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corviknight-Gigantamax,823,,,50.2,49.8,Flying,Steel,,Flying,----,Pressure,Unnerve,Mirror Armor,----,Sky Attack,Sand Attack,Tailwind,Defog,Rock Smash,Spite,Roost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blipbug,824,,,50.2,49.8,Bug,----,,Bug,----,Swarm,Compound Eyes,Telepathy,----,Infestation,Supersonic,Sticky Web,Recover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dottler,825,,,50.2,49.8,Bug,Psychic,,Bug,----,Swarm,Compound Eyes,Telepathy,----,Infestation,Supersonic,Sticky Web,Recover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orbeetle,826,,,50.2,49.8,Bug,Psychic,,Bug,----,Swarm,Frisk,Telepathy,----,Infestation,Supersonic,Sticky Web,Recover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orbeetle-Gigantamax,826,,,50.2,49.8,Bug,Psychic,,Bug,----,Swarm,Frisk,Telepathy,----,Infestation,Supersonic,Sticky Web,Recover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
